,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_classifier__n_neighbors,param_classifier__weights,param_reduce_dim__k,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.025940752029418944,0.04917278289794922,0.551,0.6216454183403386,2,uniform,10,"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",29,0.5474525474525475,0.5966491622905726,0.5174825174825175,0.5911477869467366,0.566,0.641,0.5745745745745746,0.6608347913021745,0.5495495495495496,0.6185953511622094,0.003382398039089684,0.004215139032347123,0.019593103727835296,0.026361441657386468
1,0.024210071563720702,0.08560833930969239,0.5502,0.6857488841749302,2,uniform,15,"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",30,0.5474525474525475,0.6664166041510378,0.5834165834165834,0.6894223555888972,0.556,0.69475,0.5225225225225225,0.6865783554111472,0.5415415415415415,0.6915771057235691,0.0001700419357939966,0.002218647633157443,0.019928930979916867,0.010029035030345395
2,0.026915931701660158,0.13727641105651855,0.5532,0.7349487118624195,2,uniform,20,"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",28,0.5694305694305695,0.7291822955738935,0.5554445554445554,0.7324331082770693,0.56,0.72575,0.5355355355355356,0.7453136715821045,0.5455455455455456,0.7420644838790302,0.0020437836282337883,0.0038533121122358185,0.011706675330180098,0.007513490793527264
3,0.02352032661437988,0.04916372299194336,0.5568,0.638145056618441,2,distance,10,"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",27,0.5484515484515484,0.6094023505876469,0.5214785214785215,0.6059014753688422,0.578,0.66125,0.5815815815815816,0.6818295426143464,0.5545545545545546,0.6323419145213697,0.0002858168688216562,0.003968949638169885,0.021847702093403015,0.02946740865893174
4,0.024297380447387697,0.08574228286743164,0.566,0.747298737237421,2,distance,15,"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",26,0.5584415584415584,0.730182545636409,0.5974025974025974,0.746686671667917,0.567,0.7575,0.5405405405405406,0.7478130467383154,0.5665665665665666,0.7543114221444639,0.0004663176956571046,0.0017854014123964953,0.01840191829213999,0.009453535476246774
5,0.026334810256958007,0.1367349147796631,0.5684,0.8543489555905597,2,distance,20,"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",25,0.5994005994005994,0.8584646161540385,0.5484515484515484,0.8547136784196049,0.591,0.8245,0.5525525525525525,0.8795301174706324,0.5505505505505506,0.8545363659085229,0.0019251568777401665,0.0030460286804706795,0.02209195125864419,0.01756222008016475
6,0.02348494529724121,0.05172362327575684,0.6292,0.6674458456153654,3,uniform,10,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",10,0.6293706293706294,0.6399099774943736,0.5934065934065934,0.6431607901975493,0.65,0.688,0.6276276276276276,0.6883279180204949,0.6456456456456456,0.6778305423644089,0.00034801328781648586,0.0038728317452687774,0.01993879109162314,0.021514479249069
7,0.024097967147827148,0.09268422126770019,0.631,0.7306489364624336,3,uniform,15,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",9,0.6333666333666333,0.7216804201050263,0.6533466533466533,0.7261815453863466,0.631,0.73625,0.6096096096096096,0.7350662334416396,0.6276276276276276,0.7340664833791553,0.00015633631092817584,0.0014817242212043845,0.013956587103813135,0.005708868906572215
8,0.026576948165893555,0.14665427207946777,0.6214,0.769299376196836,3,uniform,20,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",14,0.6403596403596403,0.7749437359339835,0.6263736263736264,0.7666916729182296,0.617,0.75075,0.6036036036036037,0.775806048487878,0.6196196196196196,0.778305423644089,0.001560954724701252,0.0035286707631554293,0.012029220459453897,0.010061649421923988
9,0.02417616844177246,0.05205988883972168,0.6282,0.6809459337434959,3,distance,10,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",11,0.6293706293706294,0.6529132283070768,0.5954045954045954,0.6561640410102526,0.653,0.70525,0.6266266266266266,0.7043239190202449,0.6366366366366366,0.686078480379905,0.0006944012297727986,0.0038011674556811476,0.01879683235975962,0.022643037113878398
10,0.025218391418457033,0.09277806282043458,0.623,0.7808494138937132,3,distance,15,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",13,0.6223776223776224,0.7721930482620655,0.6463536463536463,0.7776944236059015,0.625,0.79275,0.5995995995995996,0.7815546113471632,0.6216216216216216,0.7800549862534366,6.681330911599842e-05,0.0016504568499093682,0.014827374138768584,0.00674742911132961
11,0.02821040153503418,0.14927916526794432,0.6186,0.8686994688312168,3,distance,20,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",17,0.6383616383616384,0.8757189297324331,0.6163836163836164,0.8722180545136284,0.619,0.837,0.6056056056056056,0.8877780554861284,0.6136136136136137,0.870782304423894,0.0028661838871954365,0.006664864430065445,0.010858312560566297,0.016940131484640606
12,0.024147939682006837,0.05624613761901855,0.606,0.6532966449154152,4,uniform,10,"{'classifier__n_neighbors': 4, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",23,0.6023976023976024,0.6236559139784946,0.5864135864135864,0.6394098524631158,0.638,0.67325,0.6096096096096096,0.6770807298175456,0.5935935935935935,0.6530867283179205,0.0007988105586604231,0.004060647803392306,0.017820116294697548,0.020175624272023608
13,0.025033187866210938,0.0993431568145752,0.6096,0.7044495603312225,4,uniform,15,"{'classifier__n_neighbors': 4, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",21,0.6183816183816184,0.7126781695423856,0.6193806193806194,0.6961740435108777,0.609,0.69575,0.5895895895895896,0.7110722319420145,0.6116116116116116,0.7065733566608348,0.0006778687657908147,0.002798235983351288,0.010745871366890232,0.007214524631110394
14,0.032373666763305664,0.16711630821228027,0.5932,0.7271988740905545,4,uniform,20,"{'classifier__n_neighbors': 4, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",24,0.6063936063936064,0.7214303575893973,0.5794205794205795,0.7309327331832958,0.6,0.70875,0.5805805805805806,0.7363159210197451,0.5995995995995996,0.7385653586603349,0.009372413523641744,0.022940972333843197,0.011050357838115837,0.010953501337397299
15,0.025069046020507812,0.054849863052368164,0.6094,0.6725466458154155,4,distance,10,"{'classifier__n_neighbors': 4, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",22,0.6083916083916084,0.6421605401350338,0.5924075924075924,0.6569142285571393,0.646,0.6975,0.6126126126126126,0.6985753561609598,0.5875875875875876,0.6675831042239441,0.0008320284611083384,0.0039118686242244904,0.020568056014240346,0.022327061070369338
16,0.030892133712768555,0.10355806350708008,0.616,0.7779495513968471,4,distance,15,"{'classifier__n_neighbors': 4, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",19,0.6243756243756243,0.784446111527882,0.6243756243756243,0.7669417354338585,0.616,0.778,0.5945945945945946,0.7825543614096476,0.6206206206206206,0.7778055486128468,0.006827434310400504,0.005935437909612222,0.011131077607351773,0.006076263044479358
17,0.027682018280029298,0.15532536506652833,0.6098,0.869449231353077,4,distance,20,"{'classifier__n_neighbors': 4, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",20,0.6383616383616384,0.8727181795448862,0.5884115884115884,0.8737184296074019,0.615,0.839,0.6046046046046046,0.8895276180954761,0.6026026026026026,0.8722819295176206,0.0017498542343938825,0.00307120130439313,0.016614815289135415,0.01653622423092665
18,0.025027942657470704,0.05661873817443848,0.6368,0.6836978466217404,5,uniform,10,"{'classifier__n_neighbors': 5, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",3,0.6443556443556444,0.6691672918229558,0.6163836163836164,0.6741685421355339,0.647,0.68875,0.6376376376376376,0.6933266683329168,0.6386386386386387,0.6930767308172957,0.000306634745901671,0.003733693059076862,0.010793595737367098,0.010081136808991704
19,0.02889094352722168,0.11584200859069824,0.6514,0.7248496486843531,5,uniform,15,"{'classifier__n_neighbors': 5, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",1,0.6703296703296703,0.7231807951987997,0.6683316683316683,0.7206801700425106,0.645,0.7295,0.6366366366366366,0.7218195451137216,0.6366366366366366,0.7290677330667333,0.003992467665905418,0.016633413113754426,0.014980632208933687,0.0037086157785782368
20,0.027692842483520507,0.16036019325256348,0.636,0.7402986622124164,5,uniform,20,"{'classifier__n_neighbors': 5, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",4,0.6613386613386614,0.7391847961990498,0.6123876123876124,0.735933983495874,0.64,0.7245,0.6316316316316316,0.7535616095976005,0.6346346346346347,0.7483129217695577,0.0016581962394776751,0.0035203516354887095,0.015733519108693507,0.010099732423067427
21,0.028548240661621094,0.06260447502136231,0.6344,0.7021476849998554,5,distance,10,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",5,0.6463536463536463,0.687171792948237,0.6123876123876124,0.6896724181045262,0.645,0.71075,0.6376376376376376,0.7168207948012997,0.6306306306306306,0.7063234191452137,0.007224649910663324,0.0138736318204332,0.012370028754114158,0.011718757247345701
22,0.02616772651672363,0.10663418769836426,0.6416,0.7909501644437603,5,distance,15,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",2,0.6593406593406593,0.789697424356089,0.6593406593406593,0.789697424356089,0.631,0.79925,0.6276276276276276,0.7858035491127218,0.6306306306306306,0.7903024243939015,0.0003902283811938238,0.0048034093735722485,0.014544347008306353,0.004448217671225414
23,0.02855257987976074,0.16347160339355468,0.6326,0.8717492189749512,5,distance,20,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",7,0.6563436563436563,0.8802200550137534,0.6103896103896104,0.8709677419354839,0.634,0.84075,0.6346346346346347,0.8937765558610348,0.6276276276276276,0.8730317420644839,0.002215277670834995,0.0036585591337980946,0.014757472999907857,0.017436546575424056
24,0.025493812561035157,0.058469200134277345,0.6182,0.667648608493663,6,uniform,10,"{'classifier__n_neighbors': 6, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",18,0.6303696303696303,0.6621655413853463,0.6083916083916084,0.6636659164791198,0.611,0.65875,0.6266266266266266,0.6863284178955261,0.6146146146146146,0.6673331667083229,0.0006901267897173233,0.0036791617881182267,0.00871972379571639,0.00973802728000261
25,0.02909221649169922,0.10850930213928223,0.6322,0.7058990102811882,6,uniform,15,"{'classifier__n_neighbors': 6, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",8,0.6423576423576424,0.7029257314328582,0.6523476523476524,0.6984246061515379,0.635,0.707,0.6156156156156156,0.7093226693326669,0.6156156156156156,0.7118220444888778,0.007419205790982082,0.003297931773949046,0.014608136268451402,0.004748116639056411
26,0.028580522537231444,0.1693178176879883,0.6196,0.7188981235842578,6,uniform,20,"{'classifier__n_neighbors': 6, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",15,0.6403596403596403,0.7081770442610653,0.6093906093906094,0.7164291072768192,0.626,0.70775,0.6136136136136137,0.7318170457385653,0.6086086086086087,0.7303174206448388,0.0019035757216471151,0.008379837863712204,0.012109338363266383,0.0104174578263348
27,0.02534317970275879,0.05869855880737305,0.6196,0.6887987595124225,6,distance,10,"{'classifier__n_neighbors': 6, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",15,0.6353646353646354,0.6839209802450613,0.6083916083916084,0.6841710427606902,0.617,0.683,0.6246246246246246,0.7110722319420145,0.6126126126126126,0.6818295426143464,0.001069238872101769,0.0029954099317781088,0.009542350728015478,0.011167019862456575
28,0.02564716339111328,0.10766453742980957,0.6328,0.7866494767905923,6,distance,15,"{'classifier__n_neighbors': 6, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",6,0.6373626373626373,0.786946736684171,0.6453546453546454,0.7794448612153039,0.633,0.79,0.6236236236236237,0.7883029242689328,0.6246246246246246,0.7885528617845539,0.0008128146253563806,0.0021788861163797475,0.008118458224894905,0.003730351667273944
29,0.03216118812561035,0.1829155445098877,0.6252,0.873499231553077,6,distance,20,"{'classifier__n_neighbors': 6, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",12,0.6453546453546454,0.8792198049512379,0.6043956043956044,0.8752188047011753,0.63,0.84325,0.6296296296296297,0.8957760559860035,0.6166166166166166,0.8740314921269683,0.008308072600775998,0.019144946454863837,0.013828336351958136,0.017013160256113637
